#: table_doi: 10.17182/hepdata.133152.v1/t49
#: name: Table 49
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_49.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.55,0.013405,0.00041176,-0.00041176,0.00033423,-0.00033423
0.65,0.015783,0.0005345,-0.0005345,0.00033822,-0.00033822
0.75,0.018885,0.00041041,-0.00041041,0.00022307,-0.00022307
0.85,0.023217,0.0003873,-0.0003873,0.0011738,-0.0011738
0.95,0.031767,0.00036517,-0.00036517,0.0020273,-0.0020273
1.125,0.046161,0.000204,-0.000204,0.0011297,-0.0011297
1.375,0.071528,0.00024557,-0.00024557,0.0014676,-0.0014676
1.625,0.10015,0.00048123,-0.00048123,0.0011169,-0.0011169
1.875,0.13012,0.00035382,-0.00035382,0.0013735,-0.0013735
2.125,0.15554,0.00044891,-0.00044891,0.0012246,-0.0012246
2.375,0.17846,0.00048696,-0.00048696,0.0010728,-0.0010728
2.75,0.20112,0.00059146,-0.00059146,0.0014033,-0.0014033
3.25,0.22177,0.00097068,-0.00097068,0.0014863,-0.0014863
3.75,0.2293,0.00093205,-0.00093205,0.0015367,-0.0015367
4.5,0.22545,0.0023824,-0.0023824,0.0015109,-0.0015109
5.5,0.21049,0.0057863,-0.0057863,0.0014106,-0.0014106

