#: table_doi: 10.17182/hepdata.133152.v1/t44
#: name: Table 44
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_44.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.9,0.0057557,0.0077399,-0.0077399,0.0,-0.0
1.1,0.0094768,0.0044664,-0.0044664,5.6797e-05,-5.6797e-05
1.3,0.021588,0.0026711,-0.0026711,0.00012938,-0.00012938
1.5,0.035374,0.0033831,-0.0033831,0.00021201,-0.00021201
1.7,0.053243,0.0025976,-0.0025976,0.00033623,-0.00033623
1.9,0.071504,0.0028857,-0.0028857,0.00045155,-0.00045155
2.125,0.084929,0.0017925,-0.0017925,0.00053632,-0.00053632
2.375,0.10095,0.0022797,-0.0022797,0.00028722,-0.00028722
2.625,0.12085,0.0024247,-0.0024247,0.00034387,-0.00034387
2.875,0.13068,0.0034898,-0.0034898,0.00078318,-0.00078318
3.25,0.14752,0.0022302,-0.0022302,0.00088412,-0.00088412
3.75,0.15965,0.0021109,-0.0021109,0.00045426,-0.00045426
4.5,0.17008,0.0033068,-0.0033068,0.00048394,-0.00048394
5.5,0.15931,0.010601,-0.010601,0.001006,-0.001006
8.0,0.13515,0.011293,-0.011293,0.00085345,-0.00085345

