#: table_doi: 10.17182/hepdata.133152.v1/t3
#: name: Table 3
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_3.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.35,0.01604,0.00021277,-0.00021277,0.00089576,-0.00089576
0.45,0.023701,0.00024399,-0.00024399,0.0016824,-0.0016824
0.55,0.030653,0.00021218,-0.00021218,0.0013071,-0.0013071
0.65,0.038746,0.00017804,-0.00017804,0.0011833,-0.0011833
0.75,0.046455,0.000288,-0.000288,0.0009335,-0.0009335
0.85,0.053983,0.00038778,-0.00038778,0.00078138,-0.00078138
0.95,0.063432,0.00027816,-0.00027816,0.00071946,-0.00071946
1.125,0.079226,0.00013269,-0.00013269,0.0010353,-0.0010353
1.375,0.10005,0.00023148,-0.00023148,0.001238,-0.001238
1.625,0.11758,0.00031577,-0.00031577,0.001294,-0.001294
1.875,0.13097,0.00020385,-0.00020385,0.0016218,-0.0016218
2.125,0.14226,0.00042181,-0.00042181,0.0013655,-0.0013655
2.375,0.1493,0.00058557,-0.00058557,0.0011426,-0.0011426
2.75,0.1565,0.00040893,-0.00040893,0.0015723,-0.0015723
3.25,0.16056,0.00079079,-0.00079079,0.0021604,-0.0021604
3.75,0.1524,0.001502,-0.001502,0.0020506,-0.0020506
4.5,0.1381,0.001457,-0.001457,0.0018583,-0.0018583
5.5,0.10531,0.0041552,-0.0041552,0.001417,-0.001417

