#: table_doi: 10.17182/hepdata.133152.v1/t37
#: name: Table 37
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_37.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.25,0.02322,4.6264e-05,-4.6264e-05,0.00024412,-0.00024412
0.35,0.031142,3.3969e-05,-3.3969e-05,0.00031587,-0.00031587
0.45,0.039502,2.9957e-05,-2.9957e-05,0.00038334,-0.00038334
0.55,0.047314,4.3679e-05,-4.3679e-05,0.0005314,-0.0005314
0.65,0.054733,4.8532e-05,-4.8532e-05,0.00062322,-0.00062322
0.75,0.061661,3.6374e-05,-3.6374e-05,0.0006441,-0.0006441
0.85,0.068279,5.5051e-05,-5.5051e-05,0.00073142,-0.00073142
0.95,0.074444,6.4332e-05,-6.4332e-05,0.00086565,-0.00086565
1.125,0.083804,4.5535e-05,-4.5535e-05,0.0009525,-0.0009525
1.375,0.096665,4.5904e-05,-4.5904e-05,0.0011478,-0.0011478
1.625,0.10823,0.00015118,-0.00015118,0.0011795,-0.0011795
1.875,0.11866,9.1188e-05,-9.1188e-05,0.0012281,-0.0012281
2.125,0.12824,0.00010231,-0.00010231,0.0011766,-0.0011766
2.375,0.13662,0.00019755,-0.00019755,0.0011014,-0.0011014
2.75,0.14486,0.00020681,-0.00020681,0.0012694,-0.0012694
3.25,0.1516,0.00031938,-0.00031938,0.00085115,-0.00085115
3.75,0.15014,0.00019514,-0.00019514,0.00084298,-0.00084298
4.5,0.13803,0.0005487,-0.0005487,0.00077495,-0.00077495
5.5,0.11208,0.00083343,-0.00083343,0.00062926,-0.00062926
7.0,0.083992,0.0010361,-0.0010361,0.00047157,-0.00047157
9.0,0.063792,0.0025504,-0.0025504,0.00035815,-0.00035815

