#: table_doi: 10.17182/hepdata.133152.v1/t197
#: name: Table 197
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_197.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.8,0.81796,0.02161,-0.02161,0.028222,-0.028222
1.3,0.88878,0.013746,-0.013746,0.0074825,-0.0074825
1.75,0.86891,0.009141,-0.009141,0.010272,-0.010272
2.25,0.82818,0.00917,-0.00917,0.011216,-0.011216
2.75,0.81978,0.015862,-0.015862,0.010168,-0.010168
3.5,0.79095,0.024245,-0.024245,0.018293,-0.018293
5.0,0.7663,0.047213,-0.047213,0.017723,-0.017723

