#: table_doi: 10.17182/hepdata.133152.v1/t47
#: name: Table 47
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_47.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.25,0.026902,6.1044e-05,-6.1044e-05,0.00098782,-0.00098782
0.35,0.04047,5.727e-05,-5.727e-05,0.0007707,-0.0007707
0.45,0.052878,5.3092e-05,-5.3092e-05,0.00048663,-0.00048663
0.55,0.064816,5.4065e-05,-5.4065e-05,0.0012207,-0.0012207
0.65,0.076203,7.8337e-05,-7.8337e-05,0.00071417,-0.00071417
0.75,0.087305,5.1888e-05,-5.1888e-05,0.00066643,-0.00066643
0.85,0.097376,8.6137e-05,-8.6137e-05,0.00092857,-0.00092857
0.95,0.10684,0.00015168,-0.00015168,0.00082058,-0.00082058
1.125,0.12131,9.3185e-05,-9.3185e-05,0.0011302,-0.0011302
1.375,0.14,0.00013023,-0.00013023,0.001529,-0.001529
1.625,0.15495,0.00018206,-0.00018206,0.0016653,-0.0016653
1.875,0.16602,0.00012409,-0.00012409,0.00113,-0.00113
2.125,0.17335,0.00028603,-0.00028603,0.0010152,-0.0010152
2.375,0.1782,0.00028001,-0.00028001,0.0011406,-0.0011406
2.75,0.17933,0.00031522,-0.00031522,0.001352,-0.001352
3.25,0.17424,0.00063028,-0.00063028,0.00125,-0.00125
3.75,0.16377,0.0004243,-0.0004243,0.0011749,-0.0011749
4.5,0.14284,0.0011265,-0.0011265,0.0010248,-0.0010248
5.5,0.11586,0.0015831,-0.0015831,0.00083117,-0.00083117
7.0,0.09324,0.0015597,-0.0015597,0.00066892,-0.00066892
9.0,0.079937,0.0062551,-0.0062551,0.00057348,-0.00057348

