#: table_doi: 10.17182/hepdata.133152.v1/t66
#: name: Table 66
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_66.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.35,0.020749,0.00060682,-0.00060682,0.00092807,-0.00092807
0.45,0.033161,0.00065059,-0.00065059,0.0013246,-0.0013246
0.55,0.049483,0.00046358,-0.00046358,0.0012339,-0.0012339
0.65,0.061151,0.00056761,-0.00056761,0.00055084,-0.00055084
0.75,0.076426,0.0005774,-0.0005774,0.0005452,-0.0005452
0.85,0.090142,0.0008482,-0.0008482,0.00086652,-0.00086652
0.95,0.10366,0.00038772,-0.00038772,0.00058527,-0.00058527
1.125,0.12557,0.00043535,-0.00043535,0.00032345,-0.00032345
1.375,0.14845,0.00065635,-0.00065635,0.00079849,-0.00079849
1.625,0.16759,0.00061783,-0.00061783,0.0010614,-0.0010614
1.875,0.17668,0.0012095,-0.0012095,0.00075847,-0.00075847
2.125,0.18503,0.0011544,-0.0011544,0.0020602,-0.0020602
2.375,0.18937,0.0020353,-0.0020353,0.0030238,-0.0030238
2.75,0.18775,0.0012943,-0.0012943,0.0016826,-0.0016826
3.25,0.17801,0.0035266,-0.0035266,0.0063688,-0.0063688
3.75,0.172,0.0022801,-0.0022801,0.0061538,-0.0061538
4.5,0.14426,0.0046729,-0.0046729,0.0051614,-0.0051614
5.5,0.14404,0.014186,-0.014186,0.0051536,-0.0051536

