#: table_doi: 10.17182/hepdata.133152.v1/t109
#: name: Table 109
#: description: The dependence of the standard deviation of $v_2$ ($\sigma_{v_2}$)  on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_109.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$\sigma_{v_2}$,Stat +,Stat -,Syst +,Syst -
0.8,0.021497,0.0011166,-0.0011166,0.00122,-0.00122
1.3,0.029077,0.0018043,-0.0018043,0.00063786,-0.00063786
1.75,0.04207,0.00083441,-0.00083441,0.0024112,-0.0024112
2.25,0.048135,0.0014201,-0.0014201,0.0032432,-0.0032432
2.75,0.055089,0.003047,-0.003047,0.0037935,-0.0037935
3.5,0.061037,0.0029612,-0.0029612,0.0024215,-0.0024215
5.0,0.030269,0.012201,-0.012201,0.0012196,-0.0012196

