#: table_doi: 10.17182/hepdata.133152.v1/t161
#: name: Table 161
#: description: The relative elliptic flow fluctuations ($F(v_2)$) as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_161.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$F(v_2)$,Stat +,Stat -,Syst +,Syst -
0.25,0.40651,0.0036291,-0.0036291,0.010192,-0.010192
0.35,0.38836,0.0035782,-0.0035782,0.0028062,-0.0028062
0.45,0.38038,0.0031567,-0.0031567,0.0061626,-0.0061626
0.55,0.37741,0.0023193,-0.0023193,0.0032908,-0.0032908
0.65,0.37657,0.0022474,-0.0022474,0.0020599,-0.0020599
0.75,0.36856,0.0026773,-0.0026773,0.0043542,-0.0043542
0.85,0.36763,0.0019092,-0.0019092,0.0049295,-0.0049295
0.95,0.36544,0.0020902,-0.0020902,0.0053165,-0.0053165
1.125,0.37251,0.0014051,-0.0014051,0.0055718,-0.0055718
1.375,0.37954,0.0014767,-0.0014767,0.0055632,-0.0055632
1.625,0.38424,0.0015867,-0.0015867,0.0059857,-0.0059857
1.875,0.39185,0.0027877,-0.0027877,0.006732,-0.006732
2.125,0.40517,0.0026218,-0.0026218,0.0071246,-0.0071246
2.375,0.4156,0.0035008,-0.0035008,0.0064564,-0.0064564
2.75,0.43223,0.0038133,-0.0038133,0.0074687,-0.0074687
3.25,0.45531,0.0043067,-0.0043067,0.0059514,-0.0059514
3.75,0.47382,0.0068791,-0.0068791,0.0061934,-0.0061934
4.5,0.47935,0.0057501,-0.0057501,0.0062656,-0.0062656
5.5,0.48867,0.01113,-0.01113,0.0063875,-0.0063875
7.0,0.42601,0.028643,-0.028643,0.0055684,-0.0055684
9.0,0.46432,0.031756,-0.031756,0.0060691,-0.0060691

