#: table_doi: 10.17182/hepdata.133152.v1/t95
#: name: Table 95
#: description: The dependence of the mean value of $v_2$ ($\langle v_2 \rangle$) on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_95.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$\langle v_2 \rangle$,Stat +,Stat -,Syst +,Syst -
1.1,0.049229,0.001605,-0.001605,0.00045478,-0.00045478
1.7,0.11234,0.0013945,-0.0013945,0.00033723,-0.00033723
2.25,0.17269,0.0011397,-0.0011397,0.00053704,-0.00053704
2.75,0.21327,0.0019585,-0.0019585,0.00066325,-0.00066325
3.5,0.24923,0.0015532,-0.0015532,0.00031307,-0.00031307
5.0,0.26049,0.002123,-0.002123,0.00051881,-0.00051881

