#: table_doi: 10.17182/hepdata.133152.v1/t38
#: name: Table 38
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_38.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.25,0.021108,4.6423e-05,-4.6423e-05,0.00027845,-0.00027845
0.35,0.03129,3.0036e-05,-3.0036e-05,0.0013962,-0.0013962
0.45,0.03973,3.6096e-05,-3.6096e-05,0.00098159,-0.00098159
0.55,0.048167,6.6436e-05,-6.6436e-05,0.00080961,-0.00080961
0.65,0.056192,8.2546e-05,-8.2546e-05,0.0010301,-0.0010301
0.75,0.063608,4.0599e-05,-4.0599e-05,0.0012943,-0.0012943
0.85,0.071242,0.00011357,-0.00011357,0.0013722,-0.0013722
0.95,0.079168,0.000119,-0.000119,0.0018672,-0.0018672
1.125,0.090565,0.00011226,-0.00011226,0.0024756,-0.0024756
1.375,0.10516,9.9465e-05,-9.9465e-05,0.0030624,-0.0030624
1.625,0.11737,0.00017091,-0.00017091,0.0028457,-0.0028457
1.875,0.12661,0.00014302,-0.00014302,0.0024251,-0.0024251
2.125,0.13369,0.0001904,-0.0001904,0.0015231,-0.0015231
2.375,0.13832,0.00038195,-0.00038195,0.0010999,-0.0010999
2.75,0.14131,0.00037774,-0.00037774,0.0012352,-0.0012352
3.25,0.14012,0.00052538,-0.00052538,0.0011738,-0.0011738
3.75,0.13285,0.00056816,-0.00056816,0.0011129,-0.0011129
4.5,0.11848,0.00096659,-0.00096659,0.00099246,-0.00099246
5.5,0.093088,0.0022376,-0.0022376,0.00077978,-0.00077978
7.0,0.074674,0.002105,-0.002105,0.00062553,-0.00062553
9.0,0.055736,0.0027994,-0.0027994,0.00046689,-0.00046689

