#: table_doi: 10.17182/hepdata.133152.v1/t67
#: name: Table 67
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_67.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.55,0.017308,0.00067963,-0.00067963,0.00074997,-0.00074997
0.65,0.023295,0.00078771,-0.00078771,0.00073531,-0.00073531
0.75,0.032175,0.00077139,-0.00077139,0.00091486,-0.00091486
0.85,0.042578,0.00080331,-0.00080331,0.001354,-0.001354
0.95,0.056372,0.0010251,-0.0010251,0.0016092,-0.0016092
1.125,0.077139,0.00054226,-0.00054226,0.0014017,-0.0014017
1.375,0.11161,0.00043715,-0.00043715,0.00041663,-0.00041663
1.625,0.14556,0.00096418,-0.00096418,0.0011489,-0.0011489
1.875,0.17564,0.0010775,-0.0010775,0.0015499,-0.0015499
2.125,0.20092,0.001386,-0.001386,0.00011987,-0.00011987
2.375,0.21621,0.00090302,-0.00090302,0.0013175,-0.0013175
2.75,0.2334,0.0015167,-0.0015167,0.0013173,-0.0013173
3.25,0.24018,0.0017813,-0.0017813,0.0033653,-0.0033653
3.75,0.23785,0.0029823,-0.0029823,0.0033328,-0.0033328
4.5,0.22854,0.003685,-0.003685,0.0032023,-0.0032023
5.5,0.21408,0.019175,-0.019175,0.0029996,-0.0029996

