#: table_doi: 10.17182/hepdata.133152.v1/t23
#: name: Table 23
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_23.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.6,0.05312,0.0026822,-0.0026822,0.0021085,-0.0021085
0.8,0.083905,0.0015079,-0.0015079,0.00066091,-0.00066091
1.0,0.10931,0.0017911,-0.0017911,0.00075668,-0.00075668
1.2,0.13903,0.0014382,-0.0014382,0.00097987,-0.00097987
1.4,0.1607,0.0014453,-0.0014453,0.0013114,-0.0013114
1.625,0.17916,0.00095625,-0.00095625,0.00039461,-0.00039461
1.875,0.19636,0.001504,-0.001504,0.0009425,-0.0009425
2.25,0.21101,0.0014976,-0.0014976,0.0041296,-0.0041296
2.75,0.22026,0.002021,-0.002021,0.0038111,-0.0038111
3.25,0.21071,0.0035185,-0.0035185,0.0033756,-0.0033756
3.75,0.20502,0.0035347,-0.0035347,0.0017949,-0.0017949
4.5,0.18558,0.0043091,-0.0043091,0.0034556,-0.0034556
5.5,0.13199,0.0075892,-0.0075892,0.0024243,-0.0024243
8.0,0.10327,0.011548,-0.011548,0.0020602,-0.0020602

