#: table_doi: 10.17182/hepdata.133152.v1/t20
#: name: Table 20
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_20.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.035096,5.9988e-05,-5.9988e-05,0.0023771,-0.0023771
0.35,0.052741,5.605e-05,-5.605e-05,0.0021018,-0.0021018
0.45,0.068885,3.9401e-05,-3.9401e-05,0.00088674,-0.00088674
0.55,0.084835,7.3496e-05,-7.3496e-05,0.0025782,-0.0025782
0.65,0.10019,6.8828e-05,-6.8828e-05,0.0014267,-0.0014267
0.75,0.11359,0.00018437,-0.00018437,0.0012415,-0.0012415
0.85,0.12418,0.00020829,-0.00020829,0.0017609,-0.0017609
0.95,0.13571,0.00019211,-0.00019211,0.0016604,-0.0016604
1.125,0.15393,0.00011181,-0.00011181,0.0014319,-0.0014319
1.375,0.17709,0.00019832,-0.00019832,0.0013449,-0.0013449
1.625,0.19519,0.00030902,-0.00030902,0.0012711,-0.0012711
1.875,0.20822,0.00019914,-0.00019914,0.0011524,-0.0011524
2.125,0.21742,0.00033173,-0.00033173,0.0011921,-0.0011921
2.375,0.22271,0.00035728,-0.00035728,0.0010942,-0.0010942
2.75,0.22346,0.0003047,-0.0003047,0.0012874,-0.0012874
3.25,0.21742,0.00070893,-0.00070893,0.0017054,-0.0017054
3.75,0.20127,0.0011275,-0.0011275,0.0015788,-0.0015788
4.5,0.1779,0.00095289,-0.00095289,0.0013955,-0.0013955
5.5,0.14348,0.0016644,-0.0016644,0.0011255,-0.0011255
7.0,0.11924,0.0022209,-0.0022209,0.0009353,-0.0009353
9.0,0.089459,0.0065333,-0.0065333,0.00070172,-0.00070172

