#: table_doi: 10.17182/hepdata.133152.v1/t105
#: name: Table 105
#: description: The dependence of the standard deviation of $v_2$ ($\sigma_{v_2}$)  on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_105.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$\sigma_{v_2}$,Stat +,Stat -,Syst +,Syst -
0.25,0.0090296,5.5292e-05,-5.5292e-05,0.00024286,-0.00024286
0.35,0.011727,6.0783e-05,-6.0783e-05,0.00014488,-0.00014488
0.45,0.014943,6.4561e-05,-6.4561e-05,0.00012616,-0.00012616
0.55,0.017932,6.6915e-05,-6.6915e-05,0.00011721,-0.00011721
0.65,0.020476,6.5049e-05,-6.5049e-05,0.00021921,-0.00021921
0.75,0.023117,6.3611e-05,-6.3611e-05,0.00029245,-0.00029245
0.85,0.025099,0.00012375,-0.00012375,0.00039282,-0.00039282
0.95,0.027349,0.00012411,-0.00012411,0.00035413,-0.00035413
1.125,0.030804,6.5118e-05,-6.5118e-05,0.00046943,-0.00046943
1.375,0.035401,0.00010864,-0.00010864,0.00044117,-0.00044117
1.625,0.039641,0.00019454,-0.00019454,0.00061352,-0.00061352
1.875,0.043549,0.00015655,-0.00015655,0.00057088,-0.00057088
2.125,0.047101,0.00021269,-0.00021269,0.00067697,-0.00067697
2.375,0.049676,0.000308,-0.000308,0.00099493,-0.00099493
2.75,0.054443,0.00038258,-0.00038258,0.00071552,-0.00071552
3.25,0.057496,0.00026347,-0.00026347,0.0017082,-0.0017082
3.75,0.057505,0.00063503,-0.00063503,0.0017085,-0.0017085
4.5,0.053506,0.00038127,-0.00038127,0.0015896,-0.0015896
5.5,0.039766,0.0012296,-0.0012296,0.0011814,-0.0011814
7.0,0.028483,0.0025648,-0.0025648,0.0008462,-0.0008462
9.0,0.023044,0.0035884,-0.0035884,0.00068463,-0.00068463

