#: table_doi: 10.17182/hepdata.133152.v1/t178
#: name: Table 178
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_178.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.89736,0.0023356,-0.0023356,0.0049468,-0.0049468
0.35,0.89496,0.0019647,-0.0019647,0.014197,-0.014197
0.45,0.89511,0.00079592,-0.00079592,0.0064564,-0.0064564
0.55,0.89986,0.00081815,-0.00081815,0.002883,-0.002883
0.65,0.90075,0.0009575,-0.0009575,0.00090732,-0.00090732
0.75,0.90136,0.0013514,-0.0013514,0.0048382,-0.0048382
0.85,0.90389,0.0010748,-0.0010748,0.0081846,-0.0081846
0.95,0.90173,0.0015971,-0.0015971,0.0056913,-0.0056913
1.125,0.89977,0.0011202,-0.0011202,0.0047793,-0.0047793
1.375,0.89839,0.0013723,-0.0013723,0.0067709,-0.0067709
1.625,0.89846,0.0015531,-0.0015531,0.0062273,-0.0062273
1.875,0.89617,0.0014498,-0.0014498,0.0050988,-0.0050988
2.125,0.89064,0.0012285,-0.0012285,0.002937,-0.002937
2.375,0.88984,0.0017633,-0.0017633,0.0037626,-0.0037626
2.75,0.88161,0.00097039,-0.00097039,0.0039974,-0.0039974
3.25,0.87561,0.0028805,-0.0028805,0.0043266,-0.0043266
3.75,0.8765,0.0033543,-0.0033543,0.004331,-0.004331
4.5,0.86715,0.0067409,-0.0067409,0.0042848,-0.0042848
5.5,0.87016,0.018189,-0.018189,0.0042997,-0.0042997
7.0,0.87802,0.030899,-0.030899,0.0043385,-0.0043385
9.0,0.99383,0.081885,-0.081885,0.0049107,-0.0049107

