#: table_doi: 10.17182/hepdata.133152.v1/t174
#: name: Table 174
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_174.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.925,0.81938,0.045704,-0.045704,0.0085754,-0.0085754
1.5,0.85926,0.0091002,-0.0091002,0.0043316,-0.0043316
2.125,0.88936,0.0043439,-0.0043439,0.0038291,-0.0038291
2.75,0.90986,0.0098573,-0.0098573,0.0035266,-0.0035266
3.5,0.88444,0.005235,-0.005235,0.0081383,-0.0081383
5.0,0.88669,0.0096935,-0.0096935,0.0062953,-0.0062953

