#: table_doi: 10.17182/hepdata.133152.v1/t5
#: name: Table 5
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_5.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.6,0.030886,0.0018634,-0.0018634,0.0013547,-0.0013547
0.8,0.050106,0.0010616,-0.0010616,0.0008067,-0.0008067
1.0,0.071604,0.00078975,-0.00078975,0.0004624,-0.0004624
1.2,0.087512,0.0012012,-0.0012012,0.0010404,-0.0010404
1.4,0.1014,0.0006957,-0.0006957,0.00048916,-0.00048916
1.625,0.11787,0.00053152,-0.00053152,0.00062738,-0.00062738
1.875,0.13098,0.00081104,-0.00081104,0.00037613,-0.00037613
2.25,0.14473,0.00068636,-0.00068636,0.0025722,-0.0025722
2.75,0.1595,0.0012017,-0.0012017,0.0024838,-0.0024838
3.25,0.16626,0.0018335,-0.0018335,0.0018095,-0.0018095
3.75,0.15342,0.0016907,-0.0016907,0.0027658,-0.0027658
4.5,0.13462,0.0044276,-0.0044276,0.0027834,-0.0027834
5.5,0.11825,0.0070917,-0.0070917,0.0024208,-0.0024208
8.0,0.081604,0.011592,-0.011592,0.0017226,-0.0017226

