#: table_doi: 10.17182/hepdata.133152.v1/t122
#: name: Table 122
#: description: The dependence of the standard deviation of $v_2$ ($\sigma_{v_2}$)  on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_122.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$\sigma_{v_2}$,Stat +,Stat -,Syst +,Syst -
0.25,0.011284,0.0001364,-0.0001364,0.00079391,-0.00079391
0.35,0.01759,0.00011096,-0.00011096,0.00023962,-0.00023962
0.45,0.022218,8.0831e-05,-8.0831e-05,0.00086111,-0.00086111
0.55,0.02722,0.00017286,-0.00017286,0.00071021,-0.00071021
0.65,0.032645,0.00016542,-0.00016542,0.00037728,-0.00037728
0.75,0.036532,0.00028464,-0.00028464,0.00087815,-0.00087815
0.85,0.039592,0.00026386,-0.00026386,0.0015757,-0.0015757
0.95,0.043676,0.00049149,-0.00049149,0.0010808,-0.0010808
1.125,0.049719,0.00014164,-0.00014164,0.00092038,-0.00092038
1.375,0.057739,0.00031013,-0.00031013,0.0013517,-0.0013517
1.625,0.064823,0.00045587,-0.00045587,0.001554,-0.001554
1.875,0.069994,0.00052697,-0.00052697,0.0014305,-0.0014305
2.125,0.074991,0.00050153,-0.00050153,0.0017047,-0.0017047
2.375,0.078534,0.00045792,-0.00045792,0.0014997,-0.0014997
2.75,0.080654,0.0010664,-0.0010664,0.0012625,-0.0012625
3.25,0.082309,0.0014379,-0.0014379,0.0021411,-0.0021411
3.75,0.075671,0.0011859,-0.0011859,0.0019684,-0.0019684
4.5,0.063462,0.001771,-0.001771,0.0016509,-0.0016509
5.5,0.05113,0.0028513,-0.0028513,0.0013301,-0.0013301
7.0,0.045814,0.0025218,-0.0025218,0.0011918,-0.0011918
9.0,0.038769,0.0070713,-0.0070713,0.0010085,-0.0010085

