#: table_doi: 10.17182/hepdata.133152.v1/t51
#: name: Table 51
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_51.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.8,0.018684,0.0011848,-0.0011848,0.0010721,-0.0010721
1.125,0.038264,0.00069023,-0.00069023,0.00063359,-0.00063359
1.375,0.065343,0.00050151,-0.00050151,0.0017899,-0.0017899
1.625,0.093297,0.00095834,-0.00095834,0.0010333,-0.0010333
1.875,0.12159,0.0010096,-0.0010096,0.001189,-0.001189
2.125,0.14353,0.0005751,-0.0005751,0.0013555,-0.0013555
2.375,0.16709,0.0016053,-0.0016053,0.0016793,-0.0016793
2.75,0.19051,0.0014434,-0.0014434,0.0018416,-0.0018416
3.25,0.21573,0.0024612,-0.0024612,0.0025927,-0.0025927
3.75,0.22291,0.0025376,-0.0025376,0.0028094,-0.0028094
4.5,0.22688,0.0014553,-0.0014553,0.0036923,-0.0036923
5.5,0.20883,0.010332,-0.010332,0.0033985,-0.0033985
8.0,0.1631,0.01463,-0.01463,0.0024655,-0.0024655

