#: table_doi: 10.17182/hepdata.133152.v1/t71
#: name: Table 71
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_71.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.9,0.037449,0.014817,-0.014817,0.0,-0.0
1.1,0.052213,0.0080087,-0.0080087,0.0001994,-0.0001994
1.3,0.07501,0.0052282,-0.0052282,0.00028646,-0.00028646
1.5,0.096809,0.0039931,-0.0039931,0.00036971,-0.00036971
1.7,0.12837,0.0048143,-0.0048143,0.00045782,-0.00045782
1.9,0.14469,0.003445,-0.003445,0.00051605,-0.00051605
2.125,0.17216,0.0045893,-0.0045893,0.00061403,-0.00061403
2.375,0.19224,0.0041956,-0.0041956,0.00073416,-0.00073416
2.625,0.21347,0.0025996,-0.0025996,0.00081522,-0.00081522
2.875,0.21653,0.0037497,-0.0037497,0.00045346,-0.00045346
3.25,0.22911,0.0036803,-0.0036803,0.00047982,-0.00047982
3.75,0.23197,0.0034994,-0.0034994,0.0008859,-0.0008859
4.5,0.22085,0.0050334,-0.0050334,0.00084341,-0.00084341
5.5,0.19526,0.0096203,-0.0096203,0.0007457,-0.0007457
8.0,0.17693,0.0092675,-0.0092675,0.00067567,-0.00067567

