#: table_doi: 10.17182/hepdata.133152.v1/t40
#: name: Table 40
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_40.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.55,0.012355,0.00049889,-0.00049889,0.00059873,-0.00059873
0.65,0.011447,0.00060564,-0.00060564,0.00049387,-0.00049387
0.75,0.012112,0.00031051,-0.00031051,0.00024101,-0.00024101
0.85,0.015181,0.00038129,-0.00038129,0.00059337,-0.00059337
0.95,0.020877,0.00044475,-0.00044475,0.0012372,-0.0012372
1.125,0.030845,0.00025026,-0.00025026,0.00085212,-0.00085212
1.375,0.047916,0.00018076,-0.00018076,0.0014174,-0.0014174
1.625,0.069277,0.00033276,-0.00033276,0.0012533,-0.0012533
1.875,0.090837,0.00033855,-0.00033855,0.0012654,-0.0012654
2.125,0.1122,0.00032378,-0.00032378,0.0013565,-0.0013565
2.375,0.13059,0.00055421,-0.00055421,0.0012927,-0.0012927
2.75,0.15044,0.0005853,-0.0005853,0.0016408,-0.0016408
3.25,0.17003,0.00043419,-0.00043419,0.0011655,-0.0011655
3.75,0.1789,0.00085999,-0.00085999,0.0012263,-0.0012263
4.5,0.18146,0.0015749,-0.0015749,0.0012438,-0.0012438
5.5,0.16876,0.0050294,-0.0050294,0.0011568,-0.0011568

