#: table_doi: 10.17182/hepdata.133152.v1/t65
#: name: Table 65
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_65.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.25,0.030671,0.00010268,-0.00010268,0.0022312,-0.0022312
0.35,0.047136,0.00012141,-0.00012141,0.0030818,-0.0030818
0.45,0.06355,7.2493e-05,-7.2493e-05,0.00039655,-0.00039655
0.55,0.078653,0.00017709,-0.00017709,0.002481,-0.002481
0.65,0.093165,0.00019475,-0.00019475,0.0011436,-0.0011436
0.75,0.10721,0.00028899,-0.00028899,0.00069931,-0.00069931
0.85,0.11898,0.00032482,-0.00032482,0.00056791,-0.00056791
0.95,0.12944,0.00036048,-0.00036048,0.00099598,-0.00099598
1.125,0.14491,0.00018342,-0.00018342,0.0010306,-0.0010306
1.375,0.16452,0.00033641,-0.00033641,0.0011354,-0.0011354
1.625,0.17658,0.00023018,-0.00023018,0.0010412,-0.0010412
1.875,0.1849,0.0004816,-0.0004816,0.00092141,-0.00092141
2.125,0.18795,0.00074818,-0.00074818,0.0020298,-0.0020298
2.375,0.18856,0.00028719,-0.00028719,0.0013351,-0.0013351
2.75,0.18669,0.00054594,-0.00054594,0.0020032,-0.0020032
3.25,0.17773,0.0010504,-0.0010504,0.0022261,-0.0022261
3.75,0.16429,0.0016785,-0.0016785,0.0020577,-0.0020577
4.5,0.14377,0.0014047,-0.0014047,0.0018008,-0.0018008
5.5,0.11558,0.004207,-0.004207,0.0014476,-0.0014476
7.0,0.099331,0.0043283,-0.0043283,0.0012442,-0.0012442
9.0,0.086051,0.0044258,-0.0044258,0.0010778,-0.0010778

