#: table_doi: 10.17182/hepdata.133152.v1/t12
#: name: Table 12
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_12.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.35,0.018975,0.00026933,-0.00026933,0.00068971,-0.00068971
0.45,0.02985,0.000305,-0.000305,0.0021197,-0.0021197
0.55,0.04003,0.0002307,-0.0002307,0.0012285,-0.0012285
0.65,0.049501,0.00014693,-0.00014693,0.0010055,-0.0010055
0.75,0.061075,0.00028332,-0.00028332,0.0013549,-0.0013549
0.85,0.073515,0.00034056,-0.00034056,0.00084362,-0.00084362
0.95,0.086458,0.00029617,-0.00029617,0.00090019,-0.00090019
1.125,0.10761,0.00018167,-0.00018167,0.0011183,-0.0011183
1.375,0.13466,0.00017669,-0.00017669,0.001388,-0.001388
1.625,0.15619,0.00024486,-0.00024486,0.0015081,-0.0015081
1.875,0.17327,0.00024389,-0.00024389,0.0014251,-0.0014251
2.125,0.18614,0.00035073,-0.00035073,0.0012155,-0.0012155
2.375,0.19507,0.0005009,-0.0005009,0.0014291,-0.0014291
2.75,0.20244,0.00046235,-0.00046235,0.002416,-0.002416
3.25,0.20234,0.0011758,-0.0011758,0.0020409,-0.0020409
3.75,0.19552,0.0021925,-0.0021925,0.001972,-0.001972
4.5,0.17595,0.0023526,-0.0023526,0.0017747,-0.0017747
5.5,0.15067,0.0056963,-0.0056963,0.0015196,-0.0015196

