#: table_doi: 10.17182/hepdata.133152.v1/t13
#: name: Table 13
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_13.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.55,0.018006,0.00048897,-0.00048897,0.00094242,-0.00094242
0.65,0.020515,0.00046035,-0.00046035,0.00078281,-0.00078281
0.75,0.022989,0.00025138,-0.00025138,0.00065755,-0.00065755
0.85,0.028283,0.00029359,-0.00029359,0.0015118,-0.0015118
0.95,0.037306,0.00045918,-0.00045918,0.0019013,-0.0019013
1.125,0.051393,0.00042279,-0.00042279,0.0015383,-0.0015383
1.375,0.077034,0.00023719,-0.00023719,0.001448,-0.001448
1.625,0.10718,0.00029446,-0.00029446,0.0015215,-0.0015215
1.875,0.13946,0.00031487,-0.00031487,0.001838,-0.001838
2.125,0.16812,0.00044098,-0.00044098,0.0014816,-0.0014816
2.375,0.19228,0.0006061,-0.0006061,0.0017781,-0.0017781
2.75,0.21973,0.00035435,-0.00035435,0.0021411,-0.0021411
3.25,0.24599,0.00074689,-0.00074689,0.002065,-0.002065
3.75,0.25928,0.0011938,-0.0011938,0.0021765,-0.0021765
4.5,0.26201,0.0011166,-0.0011166,0.0021995,-0.0021995
5.5,0.2422,0.0053203,-0.0053203,0.0020332,-0.0020332

