#: table_doi: 10.17182/hepdata.133152.v1/t58
#: name: Table 58
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_58.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.55,0.01631,0.00087018,-0.00087018,0.0008415,-0.0008415
0.65,0.018992,0.00049612,-0.00049612,0.00037456,-0.00037456
0.75,0.024933,0.00039573,-0.00039573,0.00051061,-0.00051061
0.85,0.033114,0.00054956,-0.00054956,0.0013349,-0.0013349
0.95,0.043345,0.00039045,-0.00039045,0.0022766,-0.0022766
1.125,0.06145,0.00032991,-0.00032991,0.00098906,-0.00098906
1.375,0.092192,0.00035317,-0.00035317,0.0011854,-0.0011854
1.625,0.12644,0.00049984,-0.00049984,0.0013182,-0.0013182
1.875,0.15806,0.00039329,-0.00039329,0.0017776,-0.0017776
2.125,0.18531,0.00076301,-0.00076301,0.0012448,-0.0012448
2.375,0.20454,0.00082118,-0.00082118,0.0014319,-0.0014319
2.75,0.22675,0.00048915,-0.00048915,0.0010927,-0.0010927
3.25,0.24667,0.0012137,-0.0012137,0.0020948,-0.0020948
3.75,0.24938,0.0023219,-0.0023219,0.0021179,-0.0021179
4.5,0.24622,0.0033322,-0.0033322,0.002091,-0.002091
5.5,0.22378,0.0081789,-0.0081789,0.0019005,-0.0019005

