#: table_doi: 10.17182/hepdata.133152.v1/t146
#: name: Table 146
#: description: The relative elliptic flow fluctuations ($F(v_2)$) as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_146.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$F(v_2)$,Stat +,Stat -,Syst +,Syst -
0.25,0.32844,0.0039648,-0.0039648,0.0083695,-0.0083695
0.35,0.33244,0.0032249,-0.0032249,0.022952,-0.022952
0.45,0.3322,0.0012958,-0.0012958,0.010611,-0.010611
0.55,0.32423,0.0013468,-0.0013468,0.004907,-0.004907
0.65,0.32273,0.001616,-0.001616,0.0015398,-0.0015398
0.75,0.32169,0.0022817,-0.0022817,0.0082176,-0.0082176
0.85,0.31735,0.0018439,-0.0018439,0.013875,-0.013875
0.95,0.32105,0.0027236,-0.0027236,0.009621,-0.009621
1.125,0.32439,0.0019233,-0.0019233,0.0080303,-0.0080303
1.375,0.32672,0.0023366,-0.0023366,0.011273,-0.011273
1.625,0.32659,0.0025934,-0.0025934,0.010363,-0.010363
1.875,0.33043,0.0024699,-0.0024699,0.0084525,-0.0084525
2.125,0.33956,0.0019977,-0.0019977,0.0047661,-0.0047661
2.375,0.34086,0.0028741,-0.0028741,0.006095,-0.006095
2.75,0.35404,0.0015325,-0.0015325,0.0062503,-0.0062503
3.25,0.3634,0.0044135,-0.0044135,0.0072041,-0.0072041
3.75,0.36203,0.0053243,-0.0053243,0.007177,-0.007177
4.5,0.37628,0.0096328,-0.0096328,0.0074596,-0.0074596
5.5,0.37173,0.022303,-0.022303,0.0073694,-0.0073694
7.0,0.35966,0.052521,-0.052521,0.0071301,-0.0071301
9.0,0.078671,0.089851,-0.089851,0.0015596,-0.0015596

