#: table_doi: 10.17182/hepdata.133152.v1/t29
#: name: Table 29
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_29.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.037178,0.00012477,-0.00012477,0.0028864,-0.0028864
0.35,0.055919,8.8122e-05,-8.8122e-05,0.0031979,-0.0031979
0.45,0.074105,8.9067e-05,-8.9067e-05,0.0012208,-0.0012208
0.55,0.091478,8.28e-05,-8.28e-05,0.0026821,-0.0026821
0.65,0.10843,8.0695e-05,-8.0695e-05,0.0012898,-0.0012898
0.75,0.12291,0.00025308,-0.00025308,0.00085598,-0.00085598
0.85,0.13418,0.00022553,-0.00022553,0.0015084,-0.0015084
0.95,0.14645,0.00029216,-0.00029216,0.0017198,-0.0017198
1.125,0.16546,0.00020355,-0.00020355,0.0013542,-0.0013542
1.375,0.18896,0.00029768,-0.00029768,0.0011342,-0.0011342
1.625,0.20612,0.00024639,-0.00024639,0.00109,-0.00109
1.875,0.217,0.00031555,-0.00031555,0.00090107,-0.00090107
2.125,0.22476,0.0004379,-0.0004379,0.00050626,-0.00050626
2.375,0.22765,0.00066878,-0.00066878,0.00079968,-0.00079968
2.75,0.22632,0.00050166,-0.00050166,0.001231,-0.001231
3.25,0.21771,0.00075212,-0.00075212,0.0012256,-0.0012256
3.75,0.20157,0.001007,-0.001007,0.0011348,-0.0011348
4.5,0.17875,0.001206,-0.001206,0.0010063,-0.0010063
5.5,0.15087,0.0030983,-0.0030983,0.00084932,-0.00084932
7.0,0.12558,0.0030534,-0.0030534,0.00070699,-0.00070699
9.0,0.10227,0.0051191,-0.0051191,0.00057573,-0.00057573

