#: table_doi: 10.17182/hepdata.133152.v1/t15
#: name: Table 15
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_15.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.8,0.020733,0.0011046,-0.0011046,0.0010669,-0.0010669
1.125,0.046795,0.00064593,-0.00064593,0.00085736,-0.00085736
1.375,0.074907,0.00070876,-0.00070876,0.0002049,-0.0002049
1.625,0.10245,0.00079145,-0.00079145,0.00049898,-0.00049898
1.875,0.1331,0.0011127,-0.0011127,0.0011671,-0.0011671
2.125,0.15658,0.0010567,-0.0010567,0.0018471,-0.0018471
2.375,0.18444,0.00090259,-0.00090259,0.0016876,-0.0016876
2.75,0.20833,0.0014449,-0.0014449,0.0028258,-0.0028258
3.25,0.23759,0.0014623,-0.0014623,0.0014625,-0.0014625
3.75,0.25964,0.0026485,-0.0026485,0.0041394,-0.0041394
4.5,0.26066,0.0023128,-0.0023128,0.0032688,-0.0032688
5.5,0.23756,0.011652,-0.011652,0.0041848,-0.0041848
8.0,0.18816,0.0193,-0.0193,0.0027164,-0.0027164

