#: table_doi: 10.17182/hepdata.133152.v1/t59
#: name: Table 59
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_59.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.6,0.038892,0.0012799,-0.0012799,0.00096708,-0.00096708
0.8,0.073225,0.0014753,-0.0014753,0.0014354,-0.0014354
1.0,0.097493,0.00095186,-0.00095186,0.0010417,-0.0010417
1.2,0.12438,0.0010717,-0.0010717,0.0017588,-0.0017588
1.4,0.14633,0.00090493,-0.00090493,0.0010625,-0.0010625
1.625,0.16057,0.0014931,-0.0014931,0.0020427,-0.0020427
1.875,0.1755,0.0012129,-0.0012129,0.0012387,-0.0012387
2.25,0.18879,0.0011334,-0.0011334,0.0039751,-0.0039751
2.75,0.19074,0.0020198,-0.0020198,0.0043806,-0.0043806
3.25,0.18943,0.0028692,-0.0028692,0.0042934,-0.0042934
3.75,0.16756,0.0046947,-0.0046947,0.0034048,-0.0034048
4.5,0.15288,0.0048655,-0.0048655,0.0031065,-0.0031065
5.5,0.11495,0.011306,-0.011306,0.0025977,-0.0025977
8.0,0.10831,0.015702,-0.015702,0.0022731,-0.0022731

