#: table_doi: 10.17182/hepdata.133152.v1/t6
#: name: Table 6
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_6.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.8,0.014218,0.0016746,-0.0016746,0.0013043,-0.0013043
1.125,0.030669,0.00042802,-0.00042802,0.00055105,-0.00055105
1.375,0.054156,0.00040447,-0.00040447,0.00042758,-0.00042758
1.625,0.072878,0.00088644,-0.00088644,0.00035991,-0.00035991
1.875,0.095437,0.00045664,-0.00045664,0.0006682,-0.0006682
2.125,0.11419,0.00058386,-0.00058386,0.0017683,-0.0017683
2.375,0.13638,0.0011899,-0.0011899,0.0014596,-0.0014596
2.75,0.15421,0.0018384,-0.0018384,0.0018897,-0.0018897
3.25,0.18438,0.0014611,-0.0014611,0.0025231,-0.0025231
3.75,0.19707,0.003152,-0.003152,0.0041557,-0.0041557
4.5,0.20916,0.0023852,-0.0023852,0.0042524,-0.0042524
5.5,0.18671,0.0067001,-0.0067001,0.0041081,-0.0041081
8.0,0.15377,0.011523,-0.011523,0.0030143,-0.0030143

