#: table_doi: 10.17182/hepdata.133152.v1/t79
#: name: Table 79
#: description: The dependence of the mean value of $v_2$ ($\langle v_2 \rangle$) on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_79.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$\langle v_2 \rangle$,Stat +,Stat -,Syst +,Syst -
1.1,0.017571,0.0025733,-0.0025733,0.00017211,-0.00017211
1.7,0.061599,0.002045,-0.002045,0.00062463,-0.00062463
2.25,0.09896,0.0016661,-0.0016661,0.00033072,-0.00033072
2.75,0.13137,0.0012687,-0.0012687,0.0012836,-0.0012836
3.5,0.16433,0.0018913,-0.0018913,0.00054918,-0.00054918
5.0,0.18505,0.0037362,-0.0037362,0.0018765,-0.0018765

