#: table_doi: 10.17182/hepdata.133152.v1/t30
#: name: Table 30
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_30.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.35,0.026786,0.00044964,-0.00044964,0.00087189,-0.00087189
0.45,0.04194,0.0004257,-0.0004257,0.0016319,-0.0016319
0.55,0.056794,0.00034149,-0.00034149,0.00063035,-0.00063035
0.65,0.069711,0.00043105,-0.00043105,0.0011111,-0.0011111
0.75,0.084814,0.00056132,-0.00056132,0.00078486,-0.00078486
0.85,0.10077,0.00050948,-0.00050948,0.0013213,-0.0013213
0.95,0.11719,0.00054676,-0.00054676,0.00085394,-0.00085394
1.125,0.14039,0.00025011,-0.00025011,0.00063122,-0.00063122
1.375,0.16907,0.00027935,-0.00027935,0.00044152,-0.00044152
1.625,0.19192,0.00058101,-0.00058101,0.00061549,-0.00061549
1.875,0.20654,0.00050875,-0.00050875,0.00087313,-0.00087313
2.125,0.21991,0.00055874,-0.00055874,0.00072749,-0.00072749
2.375,0.22588,0.0014232,-0.0014232,0.0011998,-0.0011998
2.75,0.22909,0.00094819,-0.00094819,0.0014858,-0.0014858
3.25,0.22609,0.0017142,-0.0017142,0.0051584,-0.0051584
3.75,0.21222,0.0031578,-0.0031578,0.004842,-0.004842
4.5,0.18579,0.005612,-0.005612,0.004239,-0.004239
5.5,0.16633,0.0084501,-0.0084501,0.003795,-0.003795

