#: table_doi: 10.17182/hepdata.133152.v1/t192
#: name: Table 192
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_192.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
1.75,0.9524,0.096265,-0.096265,0.024764,-0.024764
2.5,0.88198,0.033241,-0.033241,0.023623,-0.023623
3.5,0.8363,0.034296,-0.034296,0.0224,-0.0224
5.0,0.77151,0.039637,-0.039637,0.009614,-0.009614

