#: table_doi: 10.17182/hepdata.133152.v1/t21
#: name: Table 21
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_21.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.35,0.02335,0.00035855,-0.00035855,0.00058759,-0.00058759
0.45,0.035922,0.00029119,-0.00029119,0.0025994,-0.0025994
0.55,0.049408,0.0002625,-0.0002625,0.0011028,-0.0011028
0.65,0.060259,0.0004213,-0.0004213,0.0010351,-0.0010351
0.75,0.073946,0.00037429,-0.00037429,0.00073287,-0.00073287
0.85,0.089666,0.00035553,-0.00035553,0.0009669,-0.0009669
0.95,0.10455,0.0001684,-0.0001684,0.0012427,-0.0012427
1.125,0.12816,0.00025783,-0.00025783,0.0012342,-0.0012342
1.375,0.15869,0.00036056,-0.00036056,0.0012031,-0.0012031
1.625,0.18083,0.0003245,-0.0003245,0.00093847,-0.00093847
1.875,0.19851,0.00042456,-0.00042456,0.00082378,-0.00082378
2.125,0.21108,0.0005723,-0.0005723,0.0017693,-0.0017693
2.375,0.21977,0.00075361,-0.00075361,0.0014284,-0.0014284
2.75,0.22619,0.00050037,-0.00050037,0.00070569,-0.00070569
3.25,0.22458,0.0011436,-0.0011436,0.0015024,-0.0015024
3.75,0.21185,0.0026961,-0.0026961,0.0014173,-0.0014173
4.5,0.19615,0.0016857,-0.0016857,0.0013123,-0.0013123
5.5,0.15269,0.0088266,-0.0088266,0.0010215,-0.0010215

