#: table_doi: 10.17182/hepdata.133152.v1/t127
#: name: Table 127
#: description: The dependence of the standard deviation of $v_2$ ($\sigma_{v_2}$)  on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_127.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$\sigma_{v_2}$,Stat +,Stat -,Syst +,Syst -
1.1,0.024967,0.0052284,-0.0052284,0.00098539,-0.00098539
1.7,0.028518,0.0050371,-0.0050371,0.00062258,-0.00062258
2.25,0.054359,0.0029983,-0.0029983,0.0012031,-0.0012031
2.75,0.069021,0.0042994,-0.0042994,0.0015276,-0.0015276
3.5,0.094738,0.0037144,-0.0037144,0.00094018,-0.00094018
5.0,0.11431,0.0057618,-0.0057618,0.0019195,-0.0019195

