#: table_doi: 10.17182/hepdata.133152.v1/t60
#: name: Table 60
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_60.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.8,0.031323,0.001552,-0.001552,0.0027862,-0.0027862
1.125,0.053704,0.0010541,-0.0010541,0.0035884,-0.0035884
1.375,0.085771,0.0011298,-0.0011298,0.0010748,-0.0010748
1.625,0.11848,0.00096648,-0.00096648,0.0065114,-0.0065114
1.875,0.1477,0.00099217,-0.00099217,0.0015061,-0.0015061
2.125,0.17551,0.0011041,-0.0011041,0.0024089,-0.0024089
2.375,0.19411,0.0018589,-0.0018589,0.0029738,-0.0029738
2.75,0.2151,0.0022916,-0.0022916,0.0028412,-0.0028412
3.25,0.2406,0.002038,-0.002038,0.0029315,-0.0029315
3.75,0.24688,0.0024127,-0.0024127,0.0037823,-0.0037823
4.5,0.23805,0.0049108,-0.0049108,0.0038767,-0.0038767
5.5,0.21876,0.0064644,-0.0064644,0.0035626,-0.0035626
8.0,0.17863,0.019073,-0.019073,0.0015132,-0.0015132

