#: table_doi: 10.17182/hepdata.133152.v1/t100
#: name: Table 100
#: description: The dependence of the mean value of $v_2$ ($\langle v_2 \rangle$) on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_100.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$\langle v_2 \rangle$,Stat +,Stat -,Syst +,Syst -
0.75,0.039359,0.00032733,-0.00032733,0.0016993,-0.0016993
1.25,0.094552,0.00025241,-0.00025241,0.0010857,-0.0010857
1.75,0.16661,0.00039498,-0.00039498,0.0014949,-0.0014949
2.25,0.22129,0.00082295,-0.00082295,0.00069261,-0.00069261
2.75,0.25427,0.00081315,-0.00081315,0.00040282,-0.00040282
3.5,0.2683,0.001114,-0.001114,0.0025307,-0.0025307
5.0,0.26101,0.0025543,-0.0025543,0.002462,-0.002462

