#: table_doi: 10.17182/hepdata.133152.v1/t39
#: name: Table 39
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_39.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.35,0.010288,0.00026384,-0.00026384,0.00019611,-0.00019611
0.45,0.016706,0.000296,-0.000296,0.00085961,-0.00085961
0.55,0.025028,0.00024172,-0.00024172,0.0012273,-0.0012273
0.65,0.03199,0.00011722,-0.00011722,0.00079042,-0.00079042
0.75,0.040655,0.00020419,-0.00020419,0.00085245,-0.00085245
0.85,0.04976,0.0003543,-0.0003543,0.0012839,-0.0012839
0.95,0.057165,0.00031333,-0.00031333,0.0010939,-0.0010939
1.125,0.071911,0.00014429,-0.00014429,0.0011998,-0.0011998
1.375,0.090408,0.00015375,-0.00015375,0.0013895,-0.0013895
1.625,0.10536,0.0002415,-0.0002415,0.0013406,-0.0013406
1.875,0.11757,0.00029716,-0.00029716,0.0015805,-0.0015805
2.125,0.12656,0.00066802,-0.00066802,0.0014718,-0.0014718
2.375,0.13507,0.00065505,-0.00065505,0.00195,-0.00195
2.75,0.1399,0.00048677,-0.00048677,0.0017845,-0.0017845
3.25,0.14342,0.00086872,-0.00086872,0.0020851,-0.0020851
3.75,0.13719,0.0014993,-0.0014993,0.0019946,-0.0019946
4.5,0.1213,0.0031712,-0.0031712,0.0017635,-0.0017635
5.5,0.10099,0.0083001,-0.0083001,0.0014683,-0.0014683

