#: table_doi: 10.17182/hepdata.133152.v1/t130
#: name: Table 130
#: description: The dependence of the standard deviation of $v_2$ ($\sigma_{v_2}$)  on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_130.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$\sigma_{v_2}$,Stat +,Stat -,Syst +,Syst -
0.25,0.013705,0.00010457,-0.00010457,0.0012338,-0.0012338
0.35,0.020102,0.00018516,-0.00018516,0.00070593,-0.00070593
0.45,0.025893,0.00022008,-0.00022008,0.0012755,-0.0012755
0.55,0.031995,0.00020895,-0.00020895,0.00072915,-0.00072915
0.65,0.03847,0.0001746,-0.0001746,0.00045797,-0.00045797
0.75,0.04315,0.00033338,-0.00033338,0.00058779,-0.00058779
0.85,0.04627,0.00048031,-0.00048031,0.0016588,-0.0016588
0.95,0.051025,0.0002415,-0.0002415,0.0014159,-0.0014159
1.125,0.059158,0.00038372,-0.00038372,0.0013453,-0.0013453
1.375,0.068588,0.0004205,-0.0004205,0.0014575,-0.0014575
1.625,0.077338,0.00073409,-0.00073409,0.001093,-0.001093
1.875,0.081808,0.00053987,-0.00053987,0.0015972,-0.0015972
2.125,0.087719,0.00081605,-0.00081605,0.0018806,-0.0018806
2.375,0.090479,0.00086927,-0.00086927,0.00097138,-0.00097138
2.75,0.090554,0.00099775,-0.00099775,0.001627,-0.001627
3.25,0.088753,0.0015908,-0.0015908,0.0010471,-0.0010471
3.75,0.082066,0.0017102,-0.0017102,0.00096824,-0.00096824
4.5,0.075448,0.0015554,-0.0015554,0.00089016,-0.00089016
5.5,0.06755,0.004553,-0.004553,0.00079698,-0.00079698
7.0,0.052331,0.007335,-0.007335,0.00061742,-0.00061742
9.0,0.041728,0.0082309,-0.0082309,0.00049232,-0.00049232

