#: table_doi: 10.17182/hepdata.133152.v1/t14
#: name: Table 14
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_14.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.6,0.039158,0.0020142,-0.0020142,0.0017537,-0.0017537
0.8,0.066393,0.0015136,-0.0015136,0.0012491,-0.0012491
1.0,0.091586,0.001164,-0.001164,0.0010187,-0.0010187
1.2,0.11428,0.00097295,-0.00097295,0.00075156,-0.00075156
1.4,0.13529,0.0012017,-0.0012017,0.0012639,-0.0012639
1.625,0.15593,0.00070298,-0.00070298,0.00055622,-0.00055622
1.875,0.17088,0.0012887,-0.0012887,0.0010277,-0.0010277
2.25,0.18812,0.0010059,-0.0010059,0.0018666,-0.0018666
2.75,0.19699,0.001562,-0.001562,0.002563,-0.002563
3.25,0.19668,0.0018343,-0.0018343,0.0016099,-0.0016099
3.75,0.19253,0.0031966,-0.0031966,0.0026376,-0.0026376
4.5,0.17108,0.0036961,-0.0036961,0.0023203,-0.0023203
5.5,0.12574,0.0048502,-0.0048502,0.0016441,-0.0016441
8.0,0.11205,0.011579,-0.011579,0.0018802,-0.0018802

