#: table_doi: 10.17182/hepdata.133152.v1/t185
#: name: Table 185
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_185.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.88099,0.0021622,-0.0021622,0.0044174,-0.0044174
0.35,0.88146,0.00092851,-0.00092851,0.0019848,-0.0019848
0.45,0.88613,0.00090746,-0.00090746,0.0019073,-0.0019073
0.55,0.88926,0.001369,-0.001369,0.00094355,-0.00094355
0.65,0.88771,0.00069016,-0.00069016,0.00079849,-0.00079849
0.75,0.89062,0.0011157,-0.0011157,0.0025544,-0.0025544
0.85,0.89106,0.0010477,-0.0010477,0.0012276,-0.0012276
0.95,0.89359,0.0010111,-0.0010111,0.0016352,-0.0016352
1.125,0.89246,0.00060654,-0.00060654,0.0022144,-0.0022144
1.375,0.89103,0.00077406,-0.00077406,0.0018783,-0.0018783
1.625,0.89128,0.0010389,-0.0010389,0.0024123,-0.0024123
1.875,0.88637,0.0014035,-0.0014035,0.0016857,-0.0016857
2.125,0.88338,0.00092299,-0.00092299,0.0039628,-0.0039628
2.375,0.8747,0.0014301,-0.0014301,0.0032174,-0.0032174
2.75,0.8662,0.0019998,-0.0019998,0.0038123,-0.0038123
3.25,0.8558,0.0017694,-0.0017694,0.0040985,-0.0040985
3.75,0.84648,0.0035009,-0.0035009,0.0040539,-0.0040539
4.5,0.84499,0.0048306,-0.0048306,0.0040467,-0.0040467
5.5,0.8549,0.010408,-0.010408,0.0040942,-0.0040942
7.0,0.85307,0.018752,-0.018752,0.0040854,-0.0040854
9.0,0.88414,0.019708,-0.019708,0.0042342,-0.0042342

