#: table_doi: 10.17182/hepdata.133152.v1/t169
#: name: Table 169
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_169.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.87849,0.0014801,-0.0014801,0.0046574,-0.0046574
0.35,0.88275,0.0012071,-0.0012071,0.0021969,-0.0021969
0.45,0.88191,0.00098875,-0.00098875,0.0019132,-0.0019132
0.55,0.88181,0.00089332,-0.00089332,0.0019375,-0.0019375
0.65,0.88447,0.00077237,-0.00077237,0.0024622,-0.0024622
0.75,0.884,0.00069873,-0.00069873,0.0024366,-0.0024366
0.85,0.88772,0.001022,-0.001022,0.0027261,-0.0027261
0.95,0.88774,0.001031,-0.001031,0.0028525,-0.0028525
1.125,0.88767,0.00047098,-0.00047098,0.0029651,-0.0029651
1.375,0.88808,0.00069616,-0.00069616,0.0027532,-0.0027532
1.625,0.88791,0.0010511,-0.0010511,0.0022741,-0.0022741
1.875,0.88763,0.00080232,-0.00080232,0.0013153,-0.0013153
2.125,0.88746,0.00092421,-0.00092421,0.0012529,-0.0012529
2.375,0.88945,0.0011985,-0.0011985,0.0022768,-0.0022768
2.75,0.88334,0.0015214,-0.0015214,0.00095652,-0.00095652
3.25,0.88158,0.0010991,-0.0010991,0.0048361,-0.0048361
3.75,0.87975,0.0026965,-0.0026965,0.0048261,-0.0048261
4.5,0.87747,0.0015061,-0.0015061,0.0048136,-0.0048136
5.5,0.8949,0.0070015,-0.0070015,0.0049092,-0.0049092
7.0,0.90178,0.017874,-0.017874,0.0049469,-0.0049469
9.0,0.89221,0.032793,-0.032793,0.0048944,-0.0048944

