#: table_doi: 10.17182/hepdata.133152.v1/t55
#: name: Table 55
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_55.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.25,0.033297,6.3173e-05,-6.3173e-05,0.00036928,-0.00036928
0.35,0.046005,3.5325e-05,-3.5325e-05,0.00035794,-0.00035794
0.45,0.059231,4.2159e-05,-4.2159e-05,0.00043755,-0.00043755
0.55,0.071878,8.3595e-05,-8.3595e-05,0.00044298,-0.00044298
0.65,0.083253,8.7369e-05,-8.7369e-05,0.0005391,-0.0005391
0.75,0.094234,8.5861e-05,-8.5861e-05,0.00053618,-0.00053618
0.85,0.10439,8.8099e-05,-8.8099e-05,0.00059193,-0.00059193
0.95,0.11376,9.6069e-05,-9.6069e-05,0.0005247,-0.0005247
1.125,0.12808,5.8137e-05,-5.8137e-05,0.00057152,-0.00057152
1.375,0.14742,5.0111e-05,-5.0111e-05,0.00070966,-0.00070966
1.625,0.16406,0.00012627,-0.00012627,0.00063177,-0.00063177
1.875,0.17769,0.00017613,-0.00017613,0.00071912,-0.00071912
2.125,0.18905,0.00025207,-0.00025207,0.00033297,-0.00033297
2.375,0.19673,0.00018716,-0.00018716,0.00031771,-0.00031771
2.75,0.20321,0.00015669,-0.00015669,0.00028861,-0.00028861
3.25,0.2036,0.00040038,-0.00040038,0.00074646,-0.00074646
3.75,0.19438,0.00055388,-0.00055388,0.00071265,-0.00071265
4.5,0.17536,0.00068907,-0.00068907,0.00064293,-0.00064293
5.5,0.14357,0.00086504,-0.00086504,0.00052635,-0.00052635
7.0,0.11155,0.0015022,-0.0015022,0.00040896,-0.00040896
9.0,0.088373,0.0024741,-0.0024741,0.000324,-0.000324

