#: table_doi: 10.17182/hepdata.133152.v1/t154
#: name: Table 154
#: description: The relative elliptic flow fluctuations ($F(v_2)$) as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_154.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$F(v_2)$,Stat +,Stat -,Syst +,Syst -
0.25,0.35127,0.0045252,-0.0045252,0.0072642,-0.0072642
0.35,0.36035,0.0022955,-0.0022955,0.020705,-0.020705
0.45,0.34559,0.0012777,-0.0012777,0.010603,-0.010603
0.55,0.34262,0.0021952,-0.0021952,0.0027689,-0.0027689
0.65,0.34697,0.0014429,-0.0014429,0.0032018,-0.0032018
0.75,0.33815,0.0026716,-0.0026716,0.0053625,-0.0053625
0.85,0.33126,0.0023832,-0.0023832,0.0094323,-0.0094323
0.95,0.33476,0.0038083,-0.0038083,0.004722,-0.004722
1.125,0.33632,0.0008421,-0.0008421,0.0035632,-0.0035632
1.375,0.34042,0.0017406,-0.0017406,0.0061766,-0.0061766
1.625,0.34817,0.0024559,-0.0024559,0.0068895,-0.0068895
1.875,0.35461,0.0029949,-0.0029949,0.0059746,-0.0059746
2.125,0.36614,0.0024989,-0.0024989,0.0072677,-0.0072677
2.375,0.37571,0.0022819,-0.0022819,0.0062978,-0.0062978
2.75,0.38648,0.0054168,-0.0054168,0.0059594,-0.0059594
3.25,0.40921,0.0073856,-0.0073856,0.011884,-0.011884
3.75,0.40692,0.0068547,-0.0068547,0.011817,-0.011817
4.5,0.38342,0.010009,-0.010009,0.011135,-0.011135
5.5,0.37974,0.021203,-0.021203,0.011028,-0.011028
7.0,0.41888,0.026306,-0.026306,0.012165,-0.012165
9.0,0.47521,0.061261,-0.061261,0.013801,-0.013801

