#: table_doi: 10.17182/hepdata.133152.v1/t134
#: name: Table 134
#: description: The dependence of the standard deviation of $v_2$ ($\sigma_{v_2}$)  on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_134.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$\sigma_{v_2}$,Stat +,Stat -,Syst +,Syst -
0.925,0.022141,0.0031603,-0.0031603,0.001218,-0.001218
1.5,0.032565,0.0030286,-0.0030286,0.0018103,-0.0018103
2.125,0.064628,0.0028069,-0.0028069,0.0035926,-0.0035926
2.75,0.093055,0.0039378,-0.0039378,0.0047466,-0.0047466
3.5,0.11281,0.0047309,-0.0047309,0.006271,-0.006271
5.0,0.11905,0.0095107,-0.0095107,0.0045843,-0.0045843

