#: table_doi: 10.17182/hepdata.133152.v1/t69
#: name: Table 69
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_69.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.8,0.037541,0.0033018,-0.0033018,0.0035713,-0.0035713
1.125,0.070082,0.0016083,-0.0016083,0.0040801,-0.0040801
1.375,0.10754,0.0021047,-0.0021047,0.0022092,-0.0022092
1.625,0.13832,0.002052,-0.002052,0.0024679,-0.0024679
1.875,0.16586,0.001674,-0.001674,0.0010043,-0.0010043
2.125,0.18904,0.0014258,-0.0014258,0.0041196,-0.0041196
2.375,0.20789,0.0026701,-0.0026701,0.0044085,-0.0044085
2.75,0.22395,0.0023816,-0.0023816,0.0047249,-0.0047249
3.25,0.23687,0.0039962,-0.0039962,0.004527,-0.004527
3.75,0.23369,0.0050663,-0.0050663,0.0044662,-0.0044662
4.5,0.23752,0.010184,-0.010184,0.002287,-0.002287
5.5,0.19327,0.0099281,-0.0099281,0.0049185,-0.0049185
8.0,0.15607,0.032135,-0.032135,0.0034722,-0.0034722

