#: table_doi: 10.17182/hepdata.133152.v1/t162
#: name: Table 162
#: description: The relative elliptic flow fluctuations ($F(v_2)$) as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_162.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$F(v_2)$,Stat +,Stat -,Syst +,Syst -
0.25,0.40859,0.0032642,-0.0032642,0.0067305,-0.0067305
0.35,0.39206,0.0039465,-0.0039465,0.010876,-0.010876
0.45,0.37762,0.0032734,-0.0032734,0.014221,-0.014221
0.55,0.37688,0.0023247,-0.0023247,0.0031549,-0.0031549
0.65,0.38168,0.0017927,-0.0017927,0.0021578,-0.0021578
0.75,0.37343,0.0027755,-0.0027755,0.0041678,-0.0041678
0.85,0.36228,0.0036983,-0.0036983,0.010282,-0.010282
0.95,0.36649,0.002234,-0.002234,0.0071849,-0.0071849
1.125,0.3778,0.0024428,-0.0024428,0.0075189,-0.0075189
1.375,0.38485,0.002412,-0.002412,0.0081108,-0.0081108
1.625,0.40107,0.0041317,-0.0041317,0.0056462,-0.0056462
1.875,0.40467,0.0027482,-0.0027482,0.0079441,-0.0079441
2.125,0.42303,0.0041713,-0.0041713,0.011238,-0.011238
2.375,0.43252,0.0043008,-0.0043008,0.0059843,-0.0059843
2.75,0.43658,0.0051385,-0.0051385,0.0095754,-0.0095754
3.25,0.44609,0.0080471,-0.0080471,0.0085338,-0.0085338
3.75,0.44724,0.0093396,-0.0093396,0.0085557,-0.0085557
4.5,0.46565,0.010424,-0.010424,0.0089081,-0.0089081
5.5,0.50586,0.033666,-0.033666,0.0096771,-0.0096771
7.0,0.45955,0.057547,-0.057547,0.0087913,-0.0087913
9.0,0.44065,0.093828,-0.093828,0.0084296,-0.0084296

