#: table_doi: 10.17182/hepdata.133152.v1/t1
#: name: Table 1
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_1.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.027667,4.8449e-05,-4.8449e-05,0.00034408,-0.00034408
0.35,0.036316,3.8956e-05,-3.8956e-05,0.00034811,-0.00034811
0.45,0.045667,4.0215e-05,-4.0215e-05,0.00038894,-0.00038894
0.55,0.054444,5.2279e-05,-5.2279e-05,0.000518,-0.000518
0.65,0.062365,2.3394e-05,-2.3394e-05,0.00061887,-0.00061887
0.75,0.069693,6.6375e-05,-6.6375e-05,0.0006728,-0.0006728
0.85,0.076464,5.189e-05,-5.189e-05,0.00079273,-0.00079273
0.95,0.083351,5.4567e-05,-5.4567e-05,0.00085032,-0.00085032
1.125,0.093964,5.1321e-05,-5.1321e-05,0.00098593,-0.00098593
1.375,0.1084,6.4405e-05,-6.4405e-05,0.0011305,-0.0011305
1.625,0.12154,0.00010042,-0.00010042,0.0013305,-0.0013305
1.875,0.13351,7.5312e-05,-7.5312e-05,0.0014168,-0.0014168
2.125,0.14431,0.00016569,-0.00016569,0.0014626,-0.0014626
2.375,0.15338,0.00013583,-0.00013583,0.0016121,-0.0016121
2.75,0.16373,5.657e-05,-5.657e-05,0.0015855,-0.0015855
3.25,0.17165,0.00025104,-0.00025104,0.0018216,-0.0018216
3.75,0.17033,0.0002859,-0.0002859,0.0018075,-0.0018075
4.5,0.15682,0.00049164,-0.00049164,0.0016642,-0.0016642
5.5,0.12539,0.00081671,-0.00081671,0.0013306,-0.0013306
7.0,0.093187,0.00097384,-0.00097384,0.00098892,-0.00098892
9.0,0.071591,0.0022672,-0.0022672,0.00075974,-0.00075974

