#: table_doi: 10.17182/hepdata.133152.v1/t10
#: name: Table 10
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_10.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.034564,4.4796e-05,-4.4796e-05,0.00023998,-0.00023998
0.35,0.046359,4.5653e-05,-4.5653e-05,0.00035715,-0.00035715
0.45,0.058973,4.6997e-05,-4.6997e-05,0.00048702,-0.00048702
0.55,0.070592,3.8467e-05,-3.8467e-05,0.0005847,-0.0005847
0.65,0.081301,7.4549e-05,-7.4549e-05,0.00059956,-0.00059956
0.75,0.09122,6.4577e-05,-6.4577e-05,0.00073121,-0.00073121
0.85,0.10065,6.4412e-05,-6.4412e-05,0.00085995,-0.00085995
0.95,0.10964,7.1993e-05,-7.1993e-05,0.00093432,-0.00093432
1.125,0.12349,3.0567e-05,-3.0567e-05,0.001106,-0.001106
1.375,0.1426,7.9792e-05,-7.9792e-05,0.0013358,-0.0013358
1.625,0.15921,8.6649e-05,-8.6649e-05,0.001447,-0.001447
1.875,0.17453,0.00010022,-0.00010022,0.0015359,-0.0015359
2.125,0.18794,0.00013367,-0.00013367,0.0014556,-0.0014556
2.375,0.19867,0.00016216,-0.00016216,0.0014848,-0.0014848
2.75,0.20982,0.00011417,-0.00011417,0.001746,-0.001746
3.25,0.21615,0.0002137,-0.0002137,0.001485,-0.001485
3.75,0.21192,0.00054767,-0.00054767,0.001456,-0.001456
4.5,0.19373,0.00047632,-0.00047632,0.001331,-0.001331
5.5,0.15655,0.00097739,-0.00097739,0.0010755,-0.0010755
7.0,0.11931,0.0015644,-0.0015644,0.00081974,-0.00081974
9.0,0.091951,0.0016816,-0.0016816,0.00063174,-0.00063174

