#: table_doi: 10.17182/hepdata.133152.v1/t145
#: name: Table 145
#: description: The relative elliptic flow fluctuations ($F(v_2)$) as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_145.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$F(v_2)$,Stat +,Stat -,Syst +,Syst -
0.25,0.34552,0.0033176,-0.0033176,0.0075968,-0.0075968
0.35,0.33364,0.0022222,-0.0022222,0.0045156,-0.0045156
0.45,0.3334,0.0016408,-0.0016408,0.0030256,-0.0030256
0.55,0.32721,0.0014706,-0.0014706,0.0026098,-0.0026098
0.65,0.32837,0.0016682,-0.0016682,0.0019291,-0.0019291
0.75,0.32455,0.0015563,-0.0015563,0.0030103,-0.0030103
0.85,0.32414,0.0013454,-0.0013454,0.0011684,-0.0011684
0.95,0.32103,0.0019406,-0.0019406,0.0017886,-0.0017886
1.125,0.32201,0.00083344,-0.00083344,0.0015704,-0.0015704
1.375,0.3226,0.0010302,-0.0010302,0.0022762,-0.0022762
1.625,0.32111,0.0014054,-0.0014054,0.0026759,-0.0026759
1.875,0.32434,0.0016044,-0.0016044,0.0034721,-0.0034721
2.125,0.32705,0.0012197,-0.0012197,0.0030654,-0.0030654
2.375,0.3287,0.0018859,-0.0018859,0.0031041,-0.0031041
2.75,0.34158,0.0010109,-0.0010109,0.0047684,-0.0047684
3.25,0.35246,0.0030444,-0.0030444,0.0057211,-0.0057211
3.75,0.3619,0.002997,-0.002997,0.0058744,-0.0058744
4.5,0.3725,0.0051121,-0.0051121,0.0060464,-0.0060464
5.5,0.35336,0.0091203,-0.0091203,0.0057356,-0.0057356
7.0,0.36251,0.021988,-0.021988,0.0058843,-0.0058843
9.0,0.29982,0.025469,-0.025469,0.0048667,-0.0048667

