#: table_doi: 10.17182/hepdata.133152.v1/t8
#: name: Table 8
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_8.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.9,-0.0071395,0.010327,-0.010327,-0.0,0.0
1.1,0.0094602,0.0052356,-0.0052356,5.4311e-05,-5.4311e-05
1.3,0.028994,0.0024399,-0.0024399,0.00016645,-0.00016645
1.5,0.053414,0.002506,-0.002506,0.00030665,-0.00030665
1.7,0.063098,0.001848,-0.001848,0.00036225,-0.00036225
1.9,0.078458,0.0041919,-0.0041919,0.00045043,-0.00045043
2.125,0.094188,0.00194,-0.00194,0.00054073,-0.00054073
2.375,0.11586,0.0027162,-0.0027162,0.00035101,-0.00035101
2.625,0.12785,0.0017564,-0.0017564,0.00038734,-0.00038734
2.875,0.14853,0.0021182,-0.0021182,0.00083688,-0.00083688
3.25,0.17088,0.0022983,-0.0022983,0.00096277,-0.00096277
3.75,0.18581,0.0034998,-0.0034998,0.00056292,-0.00056292
4.5,0.20224,0.0042999,-0.0042999,0.00061268,-0.00061268
5.5,0.19218,0.0080755,-0.0080755,0.0011033,-0.0011033
8.0,0.14737,0.01072,-0.01072,0.00084606,-0.00084606

