#: table_doi: 10.17182/hepdata.133152.v1/t194
#: name: Table 194
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_194.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.84491,0.0023775,-0.0023775,0.0052468,-0.0052468
0.35,0.85647,0.0026681,-0.0026681,0.0078405,-0.0078405
0.45,0.86625,0.0022134,-0.0022134,0.0096909,-0.0096909
0.55,0.86675,0.0015442,-0.0015442,0.0023815,-0.0023815
0.65,0.86353,0.0012213,-0.0012213,0.0018947,-0.0018947
0.75,0.86904,0.0018592,-0.0018592,0.0031447,-0.0031447
0.85,0.87633,0.0023128,-0.0023128,0.0068724,-0.0068724
0.95,0.8736,0.0014672,-0.0014672,0.0051184,-0.0051184
1.125,0.86614,0.0016133,-0.0016133,0.0051463,-0.0051463
1.375,0.86139,0.0016705,-0.0016705,0.0056293,-0.0056293
1.625,0.85021,0.0027761,-0.0027761,0.0044054,-0.0044054
1.875,0.84769,0.0019561,-0.0019561,0.0059436,-0.0059436
2.125,0.83452,0.0029924,-0.0029924,0.0084679,-0.0084679
2.375,0.82754,0.0032429,-0.0032429,0.0049013,-0.0049013
2.75,0.82452,0.0038256,-0.0038256,0.0076383,-0.0076383
3.25,0.81735,0.0058654,-0.0058654,0.0078421,-0.0078421
3.75,0.81648,0.0076048,-0.0076048,0.0078337,-0.0078337
4.5,0.80225,0.0077743,-0.0077743,0.0076972,-0.0076972
5.5,0.76974,0.030884,-0.030884,0.0073852,-0.0073852
7.0,0.80702,0.040322,-0.040322,0.0077429,-0.0077429
9.0,0.82147,0.096462,-0.096462,0.0078815,-0.0078815

