#: table_doi: 10.17182/hepdata.133152.v1/t62
#: name: Table 62
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_62.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.9,0.01656,0.0075722,-0.0075722,0.0,-0.0
1.1,0.033566,0.0019577,-0.0019577,0.00014573,-0.00014573
1.3,0.053767,0.0035017,-0.0035017,0.00023343,-0.00023343
1.5,0.081615,0.0025459,-0.0025459,0.00035434,-0.00035434
1.7,0.10788,0.0016637,-0.0016637,0.00014016,-0.00014016
1.9,0.12886,0.0023863,-0.0023863,0.00016742,-0.00016742
2.125,0.15361,0.0022518,-0.0022518,0.00019957,-0.00019957
2.375,0.17503,0.0013753,-0.0013753,0.00024183,-0.00024183
2.625,0.19352,0.0013968,-0.0013968,0.00026737,-0.00026737
2.875,0.21223,0.0024825,-0.0024825,0.00029322,-0.00029322
3.25,0.22672,0.0028363,-0.0028363,0.00031324,-0.00031324
3.75,0.2376,0.0027443,-0.0027443,0.0010142,-0.0010142
4.5,0.23899,0.0048105,-0.0048105,0.0010202,-0.0010202
5.5,0.21291,0.0062119,-0.0062119,0.00029415,-0.00029415
8.0,0.16307,0.0125,-0.0125,0.0002253,-0.0002253

