#: table_doi: 10.17182/hepdata.133152.v1/t11
#: name: Table 11
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_11.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.031122,5.1879e-05,-5.1879e-05,0.0012026,-0.0012026
0.35,0.046166,4.5086e-05,-4.5086e-05,0.0004112,-0.0004112
0.45,0.059996,4.0684e-05,-4.0684e-05,0.00054039,-0.00054039
0.55,0.073013,5.3601e-05,-5.3601e-05,0.0012379,-0.0012379
0.65,0.085308,7.1677e-05,-7.1677e-05,0.0008256,-0.0008256
0.75,0.096525,8.6917e-05,-8.6917e-05,0.001056,-0.001056
0.85,0.10604,0.00011413,-0.00011413,0.0012946,-0.0012946
0.95,0.11645,0.00020586,-0.00020586,0.0013009,-0.0013009
1.125,0.13253,6.8656e-05,-6.8656e-05,0.0013275,-0.0013275
1.375,0.15342,8.2334e-05,-8.2334e-05,0.0013766,-0.0013766
1.625,0.17043,0.00016754,-0.00016754,0.00156,-0.00156
1.875,0.18393,0.00016187,-0.00016187,0.0015092,-0.0015092
2.125,0.19389,0.00024438,-0.00024438,0.001611,-0.001611
2.375,0.19981,0.00018573,-0.00018573,0.001393,-0.001393
2.75,0.20337,0.0001993,-0.0001993,0.0017656,-0.0017656
3.25,0.19908,0.00035791,-0.00035791,0.0016126,-0.0016126
3.75,0.18705,0.00073537,-0.00073537,0.0015151,-0.0015151
4.5,0.16526,0.00060161,-0.00060161,0.0013387,-0.0013387
5.5,0.13468,0.0019428,-0.0019428,0.0010909,-0.0010909
7.0,0.10684,0.002776,-0.002776,0.00086546,-0.00086546
9.0,0.082766,0.0036069,-0.0036069,0.00067042,-0.00067042

