#: table_doi: 10.17182/hepdata.133152.v1/t32
#: name: Table 32
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_32.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.6,0.067813,0.0024519,-0.0024519,0.0023915,-0.0023915
0.8,0.093986,0.0027507,-0.0027507,0.0029814,-0.0029814
1.0,0.12401,0.0011391,-0.0011391,0.0020057,-0.0020057
1.2,0.15248,0.0013469,-0.0013469,0.0020041,-0.0020041
1.4,0.17157,0.001864,-0.001864,0.0021202,-0.0021202
1.625,0.19026,0.0011026,-0.0011026,0.0011682,-0.0011682
1.875,0.20423,0.0020745,-0.0020745,0.0011992,-0.0011992
2.25,0.21808,0.0018976,-0.0018976,0.0056707,-0.0056707
2.75,0.22393,0.0020406,-0.0020406,0.0015372,-0.0015372
3.25,0.21826,0.0039202,-0.0039202,0.0019108,-0.0019108
3.75,0.20464,0.0037085,-0.0037085,0.0022319,-0.0022319
4.5,0.17626,0.0032381,-0.0032381,0.0039713,-0.0039713
5.5,0.16869,0.013112,-0.013112,0.0034754,-0.0034754
8.0,0.12495,0.0084964,-0.0084964,0.001991,-0.001991

