#: table_doi: 10.17182/hepdata.133152.v1/t153
#: name: Table 153
#: description: The relative elliptic flow fluctuations ($F(v_2)$) as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_153.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$F(v_2)$,Stat +,Stat -,Syst +,Syst -
0.25,0.35502,0.0035141,-0.0035141,0.0069773,-0.0069773
0.35,0.35428,0.0014486,-0.0014486,0.0031387,-0.0031387
0.45,0.34684,0.001462,-0.001462,0.0030647,-0.0030647
0.55,0.3418,0.0022047,-0.0022047,0.001533,-0.001533
0.65,0.3443,0.0011169,-0.0011169,0.0012889,-0.0012889
0.75,0.33959,0.0018469,-0.0018469,0.0041697,-0.0041697
0.85,0.33887,0.0017353,-0.0017353,0.0020063,-0.0020063
0.95,0.33471,0.0016428,-0.0016428,0.0026927,-0.0026927
1.125,0.33658,0.0010002,-0.0010002,0.0036152,-0.0036152
1.375,0.33892,0.0012626,-0.0012626,0.0030599,-0.0030599
1.625,0.33852,0.0017188,-0.0017188,0.0039271,-0.0039271
1.875,0.34647,0.0022694,-0.0022694,0.0026933,-0.0026933
2.125,0.35123,0.0014505,-0.0014505,0.0062271,-0.0062271
2.375,0.36481,0.0022013,-0.0022013,0.0049435,-0.0049435
2.75,0.37771,0.0029608,-0.0029608,0.0057115,-0.0057115
3.25,0.39303,0.0026274,-0.0026274,0.0055144,-0.0055144
3.75,0.40637,0.0049358,-0.0049358,0.0057016,-0.0057016
4.5,0.40848,0.0069792,-0.0069792,0.0057311,-0.0057311
5.5,0.39433,0.01522,-0.01522,0.0055326,-0.0055326
7.0,0.39698,0.026103,-0.026103,0.0055697,-0.0055697
9.0,0.35003,0.036987,-0.036987,0.004911,-0.004911

