#: table_doi: 10.17182/hepdata.133152.v1/t50
#: name: Table 50
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_50.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.6,0.035136,0.0011254,-0.0011254,0.0017142,-0.0017142
0.8,0.059938,0.0012822,-0.0012822,0.001531,-0.001531
1.0,0.083054,0.00078431,-0.00078431,0.0009422,-0.0009422
1.2,0.10483,0.00079205,-0.00079205,0.0021772,-0.0021772
1.4,0.12564,0.00091406,-0.00091406,0.00091873,-0.00091873
1.625,0.14004,0.00037226,-0.00037226,0.0017771,-0.0017771
1.875,0.153,0.00097236,-0.00097236,0.0015282,-0.0015282
2.25,0.16931,0.00071515,-0.00071515,0.0021548,-0.0021548
2.75,0.17469,0.0011124,-0.0011124,0.0021444,-0.0021444
3.25,0.17443,0.0015424,-0.0015424,0.00222,-0.00222
3.75,0.16702,0.0019482,-0.0019482,0.0021142,-0.0021142
4.5,0.15061,0.0030409,-0.0030409,0.001843,-0.001843
5.5,0.10088,0.0064507,-0.0064507,0.0012839,-0.0012839
8.0,0.094678,0.007869,-0.007869,0.0011586,-0.0011586

