#: table_doi: 10.17182/hepdata.133152.v1/t41
#: name: Table 41
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_41.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.6,0.027252,0.0009625,-0.0009625,0.00077418,-0.00077418
0.8,0.042235,0.00057512,-0.00057512,0.00070645,-0.00070645
1.0,0.060988,0.00067396,-0.00067396,0.00143,-0.00143
1.2,0.077761,0.00071132,-0.00071132,0.001818,-0.001818
1.4,0.092575,0.00080771,-0.00080771,0.0013397,-0.0013397
1.625,0.10338,0.00067094,-0.00067094,0.0013548,-0.0013548
1.875,0.11511,0.00072287,-0.00072287,0.0016922,-0.0016922
2.25,0.12772,0.00043856,-0.00043856,0.0018074,-0.0018074
2.75,0.13917,0.0010953,-0.0010953,0.002074,-0.002074
3.25,0.13996,0.0021497,-0.0021497,0.0023379,-0.0023379
3.75,0.12977,0.0016876,-0.0016876,0.0020734,-0.0020734
4.5,0.1274,0.0019581,-0.0019581,0.0020436,-0.0020436
5.5,0.097048,0.005987,-0.005987,0.0015505,-0.0015505
8.0,0.075454,0.012501,-0.012501,0.0009447,-0.0009447

