#: table_doi: 10.17182/hepdata.133152.v1/t42
#: name: Table 42
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_42.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.8,0.010422,0.002064,-0.002064,0.0015201,-0.0015201
1.125,0.024658,0.00085847,-0.00085847,0.0010227,-0.0010227
1.375,0.043669,0.00073542,-0.00073542,0.0012025,-0.0012025
1.625,0.064727,0.00084936,-0.00084936,0.0020816,-0.0020816
1.875,0.084035,0.00076252,-0.00076252,0.0017592,-0.0017592
2.125,0.10327,0.00082681,-0.00082681,0.0016465,-0.0016465
2.375,0.1222,0.0016013,-0.0016013,0.0016633,-0.0016633
2.75,0.14038,0.0014678,-0.0014678,0.0017187,-0.0017187
3.25,0.16389,0.0011225,-0.0011225,0.003083,-0.003083
3.75,0.17676,0.0026624,-0.0026624,0.0031392,-0.0031392
4.5,0.18621,0.0030744,-0.0030744,0.003307,-0.003307
5.5,0.1618,0.0096842,-0.0096842,0.0036223,-0.0036223
8.0,0.14525,0.012599,-0.012599,0.0030026,-0.0030026

