#: table_doi: 10.17182/hepdata.133152.v1/t28
#: name: Table 28
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_28.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.040446,0.00010714,-0.00010714,0.00051164,-0.00051164
0.35,0.056205,9.4882e-05,-9.4882e-05,0.00040299,-0.00040299
0.45,0.072487,7.7181e-05,-7.7181e-05,0.00028771,-0.00028771
0.55,0.08753,9.406e-05,-9.406e-05,0.00019993,-0.00019993
0.65,0.10156,5.5556e-05,-5.5556e-05,0.0001914,-0.0001914
0.75,0.1142,0.00014998,-0.00014998,0.00022218,-0.00022218
0.85,0.12605,9.9612e-05,-9.9612e-05,0.0004416,-0.0004416
0.95,0.13731,9.6884e-05,-9.6884e-05,0.00043677,-0.00043677
1.125,0.15451,0.00012401,-0.00012401,0.00041609,-0.00041609
1.375,0.17724,0.00016352,-0.00016352,0.00046157,-0.00046157
1.625,0.19626,0.00019516,-0.00019516,0.00039168,-0.00039168
1.875,0.21163,0.00018703,-0.00018703,0.00048436,-0.00048436
2.125,0.22453,0.00025532,-0.00025532,0.00038301,-0.00038301
2.375,0.23306,0.0004229,-0.0004229,0.0005286,-0.0005286
2.75,0.23936,0.00030604,-0.00030604,0.00045493,-0.00045493
3.25,0.23884,0.00061831,-0.00061831,0.0012081,-0.0012081
3.75,0.22701,0.00050161,-0.00050161,0.0011482,-0.0011482
4.5,0.20378,0.00070819,-0.00070819,0.0010307,-0.0010307
5.5,0.16816,0.0017338,-0.0017338,0.00085052,-0.00085052
7.0,0.13696,0.0016177,-0.0016177,0.00069273,-0.00069273
9.0,0.11135,0.004088,-0.004088,0.0005632,-0.0005632

