#: table_doi: 10.17182/hepdata.133152.v1/t74
#: name: Table 74
#: description: The dependence of the mean value of $v_2$ ($\langle v_2 \rangle$) on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_74.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$\langle v_2 \rangle$,Stat +,Stat -,Syst +,Syst -
0.25,0.022191,1.9675e-05,-1.9675e-05,0.00028694,-0.00028694
0.35,0.033228,2.7935e-05,-2.7935e-05,0.0016522,-0.0016522
0.45,0.042487,2.6945e-05,-2.6945e-05,0.00078775,-0.00078775
0.55,0.051432,5.6001e-05,-5.6001e-05,0.00082944,-0.00082944
0.65,0.059861,5.3335e-05,-5.3335e-05,0.0010023,-0.0010023
0.75,0.068116,7.9323e-05,-7.9323e-05,0.0010146,-0.0010146
0.85,0.076574,7.5452e-05,-7.5452e-05,0.00094613,-0.00094613
0.95,0.084826,5.4867e-05,-5.4867e-05,0.0011326,-0.0011326
1.125,0.096842,6.6651e-05,-6.6651e-05,0.0014128,-0.0014128
1.375,0.11247,9.5927e-05,-9.5927e-05,0.0018837,-0.0018837
1.625,0.12564,9.5989e-05,-9.5989e-05,0.0018383,-0.0018383
1.875,0.13579,0.00015431,-0.00015431,0.0018699,-0.0018699
2.125,0.14336,0.00010651,-0.00010651,0.001397,-0.001397
2.375,0.14807,0.00011099,-0.00011099,0.0013833,-0.0013833
2.75,0.152,0.00026734,-0.00026734,0.0014215,-0.0014215
3.25,0.15088,0.00045834,-0.00045834,0.0014909,-0.0014909
3.75,0.14286,0.00042145,-0.00042145,0.0014117,-0.0014117
4.5,0.12553,0.00042438,-0.00042438,0.0012404,-0.0012404
5.5,0.098887,0.0011161,-0.0011161,0.00097715,-0.00097715
7.0,0.078933,0.0018855,-0.0018855,0.00077998,-0.00077998
9.0,0.061853,0.0049684,-0.0049684,0.0006112,-0.0006112

