#: table_doi: 10.17182/hepdata.133152.v1/t68
#: name: Table 68
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_68.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.6,0.042055,0.0032159,-0.0032159,0.0041187,-0.0041187
0.8,0.078311,0.0017999,-0.0017999,0.0090882,-0.0090882
1.0,0.1026,0.0020385,-0.0020385,0.0029068,-0.0029068
1.2,0.13215,0.0016798,-0.0016798,0.0022289,-0.0022289
1.4,0.15771,0.0016255,-0.0016255,0.0043515,-0.0043515
1.625,0.16554,0.0017269,-0.0017269,0.0027661,-0.0027661
1.875,0.18061,0.0023357,-0.0023357,0.005221,-0.005221
2.25,0.18061,0.002236,-0.002236,0.0055857,-0.0055857
2.75,0.18357,0.0035448,-0.0035448,0.0050445,-0.0050445
3.25,0.17812,0.0070161,-0.0070161,0.0055514,-0.0055514
3.75,0.15115,0.0060549,-0.0060549,0.0049324,-0.0049324
4.5,0.13522,0.0075682,-0.0075682,0.003439,-0.003439
5.5,0.12768,0.013383,-0.013383,0.0041666,-0.0041666
8.0,0.086203,0.015966,-0.015966,0.0021923,-0.0021923

