#: table_doi: 10.17182/hepdata.133152.v1/t2
#: name: Table 2
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_2.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.024883,4.9509e-05,-4.9509e-05,0.00036341,-0.00036341
0.35,0.036345,4.2603e-05,-4.2603e-05,0.0019548,-0.0019548
0.45,0.046408,3.9117e-05,-3.9117e-05,0.00066575,-0.00066575
0.55,0.05576,7.9158e-05,-7.9158e-05,0.0008699,-0.0008699
0.65,0.064112,2.0009e-05,-2.0009e-05,0.0010022,-0.0010022
0.75,0.071728,8.1794e-05,-8.1794e-05,0.0008582,-0.0008582
0.85,0.079083,7.4246e-05,-7.4246e-05,0.00089688,-0.00089688
0.95,0.087232,9.5358e-05,-9.5358e-05,0.0010196,-0.0010196
1.125,0.099646,9.2199e-05,-9.2199e-05,0.0010552,-0.0010552
1.375,0.11609,0.00012735,-0.00012735,0.0012648,-0.0012648
1.625,0.13057,0.00016755,-0.00016755,0.001493,-0.001493
1.875,0.14255,0.00016938,-0.00016938,0.0016319,-0.0016319
2.125,0.15137,0.00027656,-0.00027656,0.0014916,-0.0014916
2.375,0.15675,0.00020728,-0.00020728,0.001753,-0.001753
2.75,0.1618,0.00021246,-0.00021246,0.0016412,-0.0016412
3.25,0.16089,0.00034183,-0.00034183,0.0019192,-0.0019192
3.75,0.15238,0.00058894,-0.00058894,0.0018177,-0.0018177
4.5,0.13336,0.0011661,-0.0011661,0.0015909,-0.0015909
5.5,0.10593,0.0014589,-0.0014589,0.0012637,-0.0012637
7.0,0.0845,0.0014322,-0.0014322,0.001008,-0.001008
9.0,0.067679,0.0036804,-0.0036804,0.00080733,-0.00080733

